organisationunitid,organisationunitname,organisationunitcode,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00,district_code
wwOSgp0cOmn,11108 Gauradaha Municipality,11108,59087.0,59928.0,60767.0,60739.0,61608.0,61741.0,61741.0,61741.0,111
JaUBuct5QVT,11109 Gauriganj Rural Municipality,11109,36979.0,37475.0,37982.0,36157.0,36786.0,35505.0,35505.0,35505.0,111
Cf6GIV8FAqx,11110 Jhapa Rural Municipality,11110,38636.0,39120.0,39614.0,39489.0,40224.0,39596.0,39596.0,39596.0,111
D9dexwSZsOS,11111 Barhadashi Rural Municipality,11111,37512.0,37999.0,38489.0,38012.0,38629.0,38061.0,38061.0,38061.0,111
n22NGxaQxai,11112 Birtamod Municipality,11112,92422.0,93729.0,95045.0,117652.0,119509.0,120263.0,120263.0,120263.0,111
bmihOcaIGVI,11113 Haldibari Rural Municipality,11113,32367.0,32825.0,33284.0,33138.0,33655.0,32958.0,32958.0,32958.0,111
Br9qDReSA2O,11114 Bhadrapur Municipality,11114,74595.0,75678.0,76767.0,70997.0,72062.0,71459.0,71459.0,71459.0,111
c5xvFc10jWu,11115 Kachanakawal Rural Municipality,11115,44253.0,44828.0,45408.0,42509.0,43288.0,41103.0,41103.0,41103.0,111
ubowqxaF44P,11201 Miklajung Rural Municipality,11201,31858.0,32250.0,32648.0,33391.0,33850.0,33508.0,33508.0,33508.0,112
a93eGOAOHia,11202 Letang Municipality,11202,36489.0,36975.0,37460.0,38761.0,39295.0,39157.0,39157.0,39157.0,112
sBELQdDFD2K,11203 Kerabari Rural Municipality,11203,34334.0,34765.0,35197.0,34800.0,35256.0,35075.0,35075.0,35075.0,112
mKSUBEinvq2,11204 Sundarharaicha Municipality,11204,89538.0,90725.0,91920.0,121549.0,123074.0,125833.0,125833.0,125833.0,112
pN4TTnoLrKe,11205 Belbari Municipality,11205,73242.0,74205.0,75172.0,82003.0,83036.0,83884.0,83884.0,83884.0,112
oiPoxEsEVm5,11206 Kanepokhari Rural Municipality,11206,42166.0,42723.0,43281.0,43264.0,43797.0,43913.0,43913.0,43913.0,112
DVMRpMuFczl,11207 Pathari Shanishchare Municipality,11207,68057.0,68961.0,69865.0,72836.0,73765.0,74584.0,74584.0,74584.0,112
yUwjKIAHeH9,11208 Urlabari Municipality,11208,60851.0,61678.0,62516.0,71707.0,72620.0,73060.0,73060.0,73060.0,112
pwSpcMa7aiC,11209 Ratuwamai Municipality,11209,61570.0,62402.0,63240.0,61499.0,62393.0,62373.0,62373.0,62373.0,112
h9u8UmFONT1,11210 Sunwarshi Municipality,11210,56240.0,56971.0,57705.0,56313.0,57231.0,56910.0,56910.0,56910.0,112
KvHrEEoouzN,11211 Rangeli Municipality,11211,57720.0,58487.0,59254.0,57948.0,58780.0,58322.0,58322.0,58322.0,112
VwwGw8hqdUJ,11212 Gramthan Rural Municipality,11212,36427.0,36953.0,37482.0,36577.0,37056.0,35731.0,35731.0,35731.0,112
xBDvxlFhSZC,11213 Budhiganga Rural Municipality,11213,46810.0,47470.0,48135.0,51761.0,52521.0,52342.0,52342.0,52342.0,112
kWTiMqhMM9Z,11214 Biratnagar Metropolitan City,11214,243921.0,247351.0,250812.0,245295.0,248716.0,249945.0,249945.0,249945.0,112
QXdURpmMJVr,11215 Katahari Rural Municipality,11215,44133.0,44706.0,45288.0,48756.0,49530.0,48582.0,48582.0,48582.0,112
txapzBqXqYv,11216 Dhanapalthan Rural Municipality,11216,43607.0,44161.0,44720.0,45323.0,46091.0,45287.0,45287.0,45287.0,112
BHbUx4fzmU6,11217 Jahada Rural Municipality,11217,46344.0,46938.0,47532.0,47980.0,48888.0,47755.0,47755.0,47755.0,112
i9OaLRO8kUl,11301 Dharan Sub-Metropolitan City,11301,166081.0,169469.0,172916.0,173529.0,176265.0,173011.0,173011.0,173011.0,113
fS16KZv8gF5,11302 Baraha Municipality,11302,90424.0,92118.0,93838.0,92132.0,93643.0,93791.0,93791.0,93791.0,113
UAZLJpwmgTC,11303 Koshi Rural Municipality,11303,50651.0,51580.0,52520.0,49268.0,50325.0,49526.0,49526.0,49526.0,113
fOsad5tzQnM,11304 Bhokraha Rural Municipality,11304,46591.0,47426.0,48272.0,49558.0,50718.0,49859.0,49859.0,49859.0,113
lC6XtfV6VtA,11305 Ramdhuni Municipality,11305,61243.0,62425.0,63621.0,65247.0,65910.0,65313.0,65313.0,65313.0,113
A8EZqSGm5PY,11306 Itahari Sub-Metropolitan City,11306,167988.0,171421.0,174911.0,198627.0,201980.0,207096.0,207096.0,207096.0,113
oEJ9zGHQD3W,11307 Duhabi Municipality,11307,65852.0,67176.0,68516.0,67252.0,68524.0,67620.0,67620.0,67620.0,113
C8jpqXzlwLo,11308 Gadhi Rural Municipality,11308,40524.0,41333.0,42146.0,39594.0,40328.0,38732.0,38732.0,38732.0,113
RJjAQffhRya,11309 Inaruwa Municipality,11309,75070.0,76487.0,77924.0,76136.0,77499.0,76422.0,76422.0,76422.0,113
I1EcVkGuEAi,11310 Harinagara Rural Municipality,11310,47158.0,47981.0,48810.0,49694.0,50885.0,50454.0,50454.0,50454.0,113
gtD00wobuEx,11311 Dewangunj Rural Municipality,11311,40878.0,41657.0,42447.0,39502.0,40351.0,39403.0,39403.0,39403.0,113
oSXIDqXc98o,11312 Barju Rural Municipality,11312,36270.0,36970.0,37686.0,36644.0,37342.0,36586.0,36586.0,36586.0,113
QtO7FHYoYFL,11401 Belaka Municipality,11401,46787.0,47355.0,47932.0,51562.0,52219.0,52417.0,52417.0,52417.0,114
byh0saBehjx,11402 Chaudandigadhi Municipality,11402,53873.0,54550.0,55230.0,53642.0,54309.0,54721.0,54721.0,54721.0,114
IrlWkahBEKS,11403 Triyuga Municipality,11403,99317.0,100621.0,101932.0,105279.0,106486.0,105411.0,105411.0,105411.0,114
oOYYlsVSG0Z,11404 Rautamai Rural Municipality,11404,25602.0,25899.0,26195.0,20471.0,20799.0,19046.0,19046.0,19046.0,114
OF6Ct06Stc6,11405 Limchungbung Rural Municipality,11405,12945.0,13076.0,13211.0,9813.0,9974.0,9118.0,9118.0,9118.0,114
bdOniUUPLUd,11406 Tapli Rural Municipality,11406,15795.0,15979.0,16153.0,13413.0,13639.0,12410.0,12410.0,12410.0,114
p3jCjtaqr1K,11407 Katari Municipality,11407,62327.0,63083.0,63847.0,60354.0,61267.0,60423.0,60423.0,60423.0,114
H7GTeyIlh47,11408 Udayapurgadhi Rural Municipality,11408,33520.0,33903.0,34290.0,29003.0,29459.0,27068.0,27068.0,27068.0,114
GTscpNaZbdd,20101 Saptakoshi Municipality,20101,23504.0,23765.0,24026.0,23935.0,24218.0,23937.0,23937.0,23937.0,201
My9JVu4tB1f,20102 Kanchanrup Municipality,20102,58591.0,59246.0,59897.0,59001.0,59769.0,59713.0,59713.0,59713.0,201
f5sr4KVRSGU,20103 Agnisair Krishna Sabaran Rural Municipality,20103,29816.0,30146.0,30476.0,32108.0,32494.0,31679.0,31679.0,31679.0,201
UzTFKbl7g95,20104 Rupani Rural Municipality,20104,28807.0,29134.0,29461.0,30128.0,30528.0,30045.0,30045.0,30045.0,201
ui1c8rGwOps,20105 Shambhunath Municipality,20105,38422.0,38845.0,39267.0,39501.0,39989.0,40563.0,40563.0,40563.0,201
LCwocRjf8BI,20106 Khadak Municipality,20106,49495.0,50012.0,50525.0,54302.0,55006.0,53951.0,53951.0,53951.0,201
